tau,prob_actions,results
0.5,"[0.1408435797420408, 0.0772965954315689, 0.10204640785926705, 0.006344890929632395, 0.12744054104073, 0.12744054104072988, 0.12744054104073005, 0.06994085183327095, 0.1274405410407301, 0.046882755020650015, 0.046882755020650015]","([92], [2], [1], [132])"
0.5,"[0.14142242059159926, 0.07761427002525315, 0.09835598603747864, 0.006370967248217814, 0.12796429790049824, 0.12796429790049813, 0.1279642979004983, 0.07022829569239583, 0.12796429790049835, 0.047075434401531266, 0.047075434401531266]","([93], [7], [2], [134])"
0.5,"[0.13845096786677277, 0.07598350219376507, 0.09628941016152151, 0.006237105673014217, 0.12527561628915032, 0.1252756162891502, 0.12527561628915038, 0.08976390152260401, 0.12527561628915043, 0.04608632371286066, 0.04608632371286066]","([94], [5], [2], [136])"
0.5,"[0.1370778707704666, 0.07522993052982532, 0.09533445324402964, 0.006175248744016714, 0.12403318665781597, 0.13395075615886443, 0.12403318665781601, 0.0888736617905683, 0.12403318665781608, 0.04562925939439054, 0.04562925939439054]","([95], [2], [2], [138])"
0.5,"[0.13623114907623207, 0.07476523981149616, 0.10092251746008016, 0.006137104607042127, 0.12326704118620978, 0.13312335046193213, 0.12326704118620982, 0.08832469457170813, 0.12326704118620987, 0.04534741022644002, 0.04534741022644002]","([96], [5], [1], [139])"
0.5,"[0.13758725158020316, 0.07550948464541174, 0.10192714290413404, 0.00619819594320993, 0.12449409347449507, 0.12449409347449507, 0.12449409347449511, 0.08920391595597577, 0.12449409347449518, 0.04579881753654255, 0.04579881753654255]","([97], [1], [1], [140])"
0.5,"[0.1381509867185663, 0.07172157709872305, 0.10234476816627198, 0.006223591761554411, 0.1250041821215477, 0.1250041821215477, 0.12500418212154776, 0.0895694104427572, 0.12500418212154782, 0.04598646866296817, 0.04598646866296817]","([98], [10], [1], [141])"
0.5,"[0.1381509867185663, 0.07172157709872305, 0.10234476816627198, 0.006223591761554411, 0.1250041821215477, 0.1250041821215477, 0.12500418212154776, 0.0895694104427572, 0.12500418212154782, 0.04598646866296817, 0.04598646866296817]","([99], [9], [1], [142])"
0.5,"[0.1381509867185663, 0.07172157709872305, 0.10234476816627198, 0.006223591761554411, 0.1250041821215477, 0.1250041821215477, 0.12500418212154776, 0.0895694104427572, 0.12500418212154782, 0.04598646866296817, 0.04598646866296817]","([100], [7], [1], [143])"
0.5,"[0.13928431587680218, 0.07230994897019027, 0.103184359056723, 0.0062746473361823, 0.12602966075087074, 0.12602966075087074, 0.12602966075087077, 0.08210064342050588, 0.12602966075087085, 0.04636372116805679, 0.04636372116805679]","([101], [6], [1], [144])"
0.5,"[0.14166100983067845, 0.07354381810642929, 0.10494505724273862, 0.006381715503138018, 0.12818018237155782, 0.12818018237155782, 0.1111165672838513, 0.08350157719828642, 0.12818018237155793, 0.04715485386010226, 0.04715485386010226]","([102], [1], [1], [145])"
